TT=1,DIM= 50,RightCount=39,RightRatio=6.500000e-001,train_error=2.000000e-001
TT=2,DIM= 50,RightCount=35,RightRatio=5.833333e-001,train_error=2.000000e-001
TT=3,DIM= 50,RightCount=45,RightRatio=7.500000e-001,train_error=2.000000e-001
TT=4,DIM= 50,RightCount=48,RightRatio=8.000000e-001,train_error=2.000000e-001
TT=5,DIM= 50,RightCount=50,RightRatio=8.333333e-001,train_error=2.000000e-001
TT=6,DIM= 50,RightCount=50,RightRatio=8.333333e-001,train_error=2.000000e-001
TT=7,DIM= 50,RightCount=51,RightRatio=8.500000e-001,train_error=2.166667e-001
TT=8,DIM= 50,RightCount=50,RightRatio=8.333333e-001,train_error=2.166667e-001
TT=9,DIM= 50,RightCount=54,RightRatio=9.000000e-001,train_error=2.166667e-001
TT=10,DIM= 50,RightCount=51,RightRatio=8.500000e-001,train_error=2.166667e-001
TT=11,DIM= 50,RightCount=53,RightRatio=8.833333e-001,train_error=2.333333e-001
TT=12,DIM= 50,RightCount=54,RightRatio=9.000000e-001,train_error=2.333333e-001
TT=13,DIM= 50,RightCount=54,RightRatio=9.000000e-001,train_error=2.333333e-001
TT=14,DIM= 50,RightCount=55,RightRatio=9.166667e-001,train_error=2.333333e-001
TT=15,DIM= 50,RightCount=56,RightRatio=9.333333e-001,train_error=2.333333e-001
TT=16,DIM= 50,RightCount=56,RightRatio=9.333333e-001,train_error=2.500000e-001
TT=17,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.500000e-001
TT=18,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.500000e-001
TT=19,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.500000e-001
TT=20,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.500000e-001
TT=21,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.500000e-001
TT=22,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.500000e-001
TT=23,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.500000e-001
TT=24,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=2.666667e-001
TT=25,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=2.666667e-001
TT=26,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.666667e-001
TT=27,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.666667e-001
TT=28,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.666667e-001
TT=29,DIM= 50,RightCount=56,RightRatio=9.333333e-001,train_error=2.666667e-001
TT=30,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.666667e-001
TT=31,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=2.666667e-001
TT=32,DIM= 50,RightCount=56,RightRatio=9.333333e-001,train_error=2.666667e-001
TT=33,DIM= 50,RightCount=56,RightRatio=9.333333e-001,train_error=2.666667e-001
TT=34,DIM= 50,RightCount=56,RightRatio=9.333333e-001,train_error=2.666667e-001
TT=35,DIM= 50,RightCount=55,RightRatio=9.166667e-001,train_error=2.666667e-001
